count,isbn,authors,year,title,language,rating,read,image
4,385494785,Jon Krakauer,1997,Into Thin Air: A Personal Account of the Mt. Evere,en-US,4,291258,https://images.gr-assets.com/books/1463384482m/189
4,1416524304,Stephen King,1974,Carrie,,4,356814,https://s.gr-assets.com/assets/nophoto/book/111x14
2,31242227,Augusten Burroughs,2002,Running with Scissors,en-US,4,293878,https://s.gr-assets.com/assets/nophoto/book/111x14
9,307346609,Max Brooks,2006,World War Z: An Oral History of the Zombie War,en-US,4,312969,https://images.gr-assets.com/books/1386328204m/890
9,385537859,Dan Brown,2013,Inferno,eng,4,287533,https://images.gr-assets.com/books/1397093185m/172
9,440227534,Lois Lowry,1989,Number the Stars,eng,4,333638,https://images.gr-assets.com/books/1370917812m/472
9,446692638,James Patterson,1993,Along Came a Spider,eng,4,311499,https://s.gr-assets.com/assets/nophoto/book/111x14
9,450417395,Stephen King,1987,Misery,en-GB,4,334647,https://images.gr-assets.com/books/1270545451m/106
8,307341542,Gillian Flynn,2006,Sharp Objects,en-US,4,207889,https://images.gr-assets.com/books/1423241485m/665
7,439366771,Katherine Paterson,1977,Bridge to Terabithia,eng,4,337644,https://images.gr-assets.com/books/1327880087m/283
6,312360266,"P.C. Cast, Kristin Cast",2007,Marked,en-US,4,360044,https://images.gr-assets.com/books/1317067002m/301
3,743269519,Stephen R. Covey,1989,The 7 Habits of Highly Effective People,en-US,4,314700,https://images.gr-assets.com/books/1421842784m/360
9,743477545,"William Shakespeare, Barbara A. Mowat, Paul Wersti",1595,A Midsummer Night's Dream,eng,4,334241,https://images.gr-assets.com/books/1327874534m/162
2,618711651,Jonathan Safran Foer,2005,Extremely Loud and Incredibly Close,en-US,4,294726,https://images.gr-assets.com/books/1327879967m/458
6,375869026,R.J. Palacio,2012,Wonder,eng,4,228538,https://images.gr-assets.com/books/1309285027m/113
5,39480001,Dr. Seuss,1957,The Cat in the Hat,eng,4,314016,https://images.gr-assets.com/books/1468890477m/233
4,312641893,Marissa Meyer,2012,Cinder,eng,4,427663,https://images.gr-assets.com/books/1470056948m/112
3,316206849,"Robert Galbraith, J.K. Rowling",2013,The Cuckoo's Calling,en-US,4,297712,https://images.gr-assets.com/books/1358716559m/161
8,545123267,Maggie Stiefvater,2009,Shiver,eng,4,356625,https://images.gr-assets.com/books/1409283154m/606
5,452011876,"Ayn Rand, Leonard Peikoff",1957,Atlas Shrugged,eng,4,283295,https://images.gr-assets.com/books/1405868167m/662
2,143038257,"Greg Mortenson, David Oliver Relin",2006,Three Cups of Tea ,en-US,4,283516,https://images.gr-assets.com/books/1395407074m/494
4,143034901,"Carlos Ruiz Zafón, Lucia Graves",2001,La sombra del viento,eng,4,263685,https://images.gr-assets.com/books/1344545047m/123
8,385738757,James Dashner,2010,The Scorch Trials,eng,4,305643,https://s.gr-assets.com/assets/nophoto/book/111x14
9,767900383,Frances Mayes,1996,Under the Tuscan Sun,eng,4,279264,https://images.gr-assets.com/books/1320524083m/480
9,399167064,Liane Moriarty,2014,Big Little Lies,eng,4,306186,https://images.gr-assets.com/books/1492239430m/194
4,590920685,Gail Carson Levine,1997,Ella Enchanted,eng,4,339117,https://images.gr-assets.com/books/1410727190m/243
3,743297334,Ernest Hemingway,1926,The Sun Also Rises,en-US,4,284988,https://images.gr-assets.com/books/1331828228m/387
1,61120073,Betty  Smith,1943,A Tree Grows In Brooklyn ,eng,4,291909,https://images.gr-assets.com/books/1327883484m/148
2,446677388,James Patterson,1995,Kiss the Girls,eng,4,274639,https://s.gr-assets.com/assets/nophoto/book/111x14
3,312577222,Kristin Hannah,2015,The Nightingale,eng,5,253606,https://images.gr-assets.com/books/1451446316m/218
1,1400078776,Kazuo Ishiguro,2005,Never Let Me Go,eng,4,294123,https://images.gr-assets.com/books/1353048590m/633
6,786890754,Cecelia Ahern,2003,"PS, I Love You",en-US,4,262921,https://s.gr-assets.com/assets/nophoto/book/111x14
9,1844080382,"Daphne du Maurier, Sally Beauman",1938,Rebecca,en-US,4,177384,https://images.gr-assets.com/books/1327871977m/128
8,156030306,Daniel Keyes,1966,Flowers for Algernon,en-US,4,313044,https://images.gr-assets.com/books/1367141311m/183
3,552995878,"Laura Esquivel, Thomas  Christensen, Carol Christe",1989,Como agua para chocolate,en-US,4,263199,https://s.gr-assets.com/assets/nophoto/book/111x14
4,812968069,Lisa See,2005,Snow Flower and the Secret Fan,eng,4,280475,https://images.gr-assets.com/books/1327880508m/110
2,451205766,"Mario Puzo, Robert Thompson, Peter Bart",1969,The Godfather,eng,4,256480,https://images.gr-assets.com/books/1394988109m/220
3,525476881,John Green,2006,An Abundance of Katherines,eng,4,312754,https://images.gr-assets.com/books/1360206426m/497
4,553803719,Isaac Asimov,1951,Foundation,eng,4,279688,https://images.gr-assets.com/books/1417900846m/295
4,62255657,Neil Gaiman,2013,The Ocean at the End of the Lane,eng,4,293844,https://images.gr-assets.com/books/1497098563m/157
4,60513063,Shel Silverstein,1981,A Light in the Attic,eng,4,297861,https://images.gr-assets.com/books/1427169918m/301
4,751565350,"John Tiffany, Jack Thorne, J.K. Rowling",2016,"Harry Potter and the Cursed Child, Parts One and T",eng,4,270603,https://images.gr-assets.com/books/1470082995m/290
5,61726834,Lauren Oliver,2011,Delirium,eng,4,256975,https://images.gr-assets.com/books/1327890411m/116
6,385339704,John Grisham,1992,The Pelican Brief,eng,4,288376,https://s.gr-assets.com/assets/nophoto/book/111x14
7,61139378,Neil Gaiman,2002,Coraline,eng,4,316379,https://images.gr-assets.com/books/1493497435m/170
8,60853980,"Terry Pratchett, Neil Gaiman",1990,Good Omens: The Nice and Accurate Prophecies of Ag,en-US,4,298304,https://images.gr-assets.com/books/1392528568m/120
9,140042598,Jack Kerouac,1955,On the Road,eng,4,246602,https://images.gr-assets.com/books/1413588576m/704
9,1476729085,Graeme Simsion,2013,The Rosie Project,eng,4,251703,https://images.gr-assets.com/books/1371651741m/161
9,446579939,Nicholas Sparks,2008,The Lucky One,en-US,4,267166,https://images.gr-assets.com/books/1420816338m/306
9,451191153,"Ayn Rand, Leonard Peikoff",1943,The Fountainhead,eng,4,244545,https://images.gr-assets.com/books/1491163636m/212
9,425172902,Tom Clancy,1984,The Hunt for Red October,,4,270318,https://images.gr-assets.com/books/1281995542m/196
9,38039586,Richard Adams,1972,Watership Down,eng,4,292426,https://images.gr-assets.com/books/1405136931m/766
18,307886263,Mindy Kaling,2011,Is Everyone Hanging Out Without Me? (And Other Con,eng,4,290674,https://images.gr-assets.com/books/1443264638m/103
74,375414495,Abraham Verghese,2009,Cutting for Stone,eng,4,258319,https://images.gr-assets.com/books/1327931601m/359
22,6112527,"C.S. Lewis, Pauline Baynes",1951,The Voyage of the Dawn Treader,eng,4,306492,https://images.gr-assets.com/books/1343185059m/140
25,753453800,Robert Louis Stevenson,1882,Treasure Island,eng,4,268012,https://images.gr-assets.com/books/1485248909m/295
69,1423140591,Rick Riordan,2011,The Son of Neptune ,eng,4,299980,https://images.gr-assets.com/books/1464201114m/952
2,241003008,Eric Carle,1969,The Very Hungry Caterpillar,eng,4,296952,https://images.gr-assets.com/books/1327878225m/494
1,140285601,Kurt Vonnegut Jr.,1963,Cat's Cradle,eng,4,238940,https://images.gr-assets.com/books/1327867150m/135
2,451528557,"H.G. Wells, Greg Bear, Carlo Pagetti",1895,The Time Machine,eng,4,276076,https://images.gr-assets.com/books/1327942880m/249
8,385751060,John Boyne,2006,The Boy in the Striped Pyjamas,eng,4,285692,https://images.gr-assets.com/books/1366228171m/399
7,1892295490,Joseph Conrad,1899,Heart of Darkness,eng,3,255576,https://images.gr-assets.com/books/1392799983m/490
9,44654759,Nicholas Sparks,2010,Safe Haven,eng,4,255531,https://images.gr-assets.com/books/1344268800m/781
9,1582701709,Rhonda Byrne,2006,The Secret,eng,4,241537,https://images.gr-assets.com/books/1482865039m/525
9,60987561,Wally Lamb,1998,I Know This Much Is True ,eng,4,246917,https://images.gr-assets.com/books/1373532198m/227
8,1416524347,Stephen King,1983,Pet Sematary,eng,4,256383,https://images.gr-assets.com/books/1308894674m/105
6,671021001,Wally Lamb,1992,She's Come Undone,en-US,4,259576,https://images.gr-assets.com/books/1408313457m/520
7,756404738,Patrick Rothfuss,2011,The Wise Man's Fear,eng,5,245686,https://images.gr-assets.com/books/1452624392m/121
7,440241901,Sophie Kinsella,2003,Can You Keep a Secret?,en-US,4,278747,https://images.gr-assets.com/books/1330464293m/337
4,1442403543,Cassandra Clare,2011,City of Fallen Angels,en-US,4,341826,https://images.gr-assets.com/books/1369452302m/675
3,743418174,Jennifer Weiner,2001,Good in Bed,en-US,4,248804,https://images.gr-assets.com/books/1327936464m/147
3,380018179,Colleen McCullough,1977,The Thorn Birds,eng,4,255651,https://images.gr-assets.com/books/1391416796m/341
4,60530928,"Neil Gaiman, Dave McKean",2008,The Graveyard Book,en-US,4,302303,https://images.gr-assets.com/books/1303859949m/221
5,1451681739,M.L. Stedman,2012,The Light Between Oceans,eng,4,243526,https://images.gr-assets.com/books/1336683021m/131
2,439709105,"Cornelia Funke, Anthea Bell",2003,Tintenherz,en-US,4,285011,https://images.gr-assets.com/books/1328866790m/281
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
